TAZ,HH15,HHSIZE15
867,72,4.5
104,105,2.20952381
2107,1,4
1111,119,2.571428571
934,48,2.25
866,203,3.15270936
1414,142,3.021126761
1350,208,3.399038462
1037,375,3.069333333
2174,138,3.195652174
1426,259,3.227799228
865,182,2.989010989
1104,63,2.555555556
871,937,2.989327641
939,554,3.09566787
642,1887,2.535771065
641,1106,2.69801085
1803,1778,2.479752531
1038,753,3.747675963
2154,98,3.408163265
856,16,2.6875
1116,32,1.78125
870,140,2.342857143
1049,116,4.362068966
463,35,2.057142857
944,152,3.052631579
2157,23,2.652173913
945,88,2.284090909
941,182,2.763736264
872,830,2.421686747
862,729,2.519890261
1425,1224,2.403594771
935,103,2.475728155
936,25,2.2
496,702,1.937321937
860,309,4.436893204
1702,57,3.228070175
2335,0,0
960,48,1.854166667
699,607,2.543657331
71,61,2.62295082
72,60,3.6
25,84,2.583333333
69,153,2.666666667
696,450,2.475555556
2139,229,3.126637555
43,138,2.594202899
65,287,2.181184669
848,1247,2.91499599
90,153,2.529411765
93,578,3.826989619
51,152,2.532894737
76,334,2.94011976
73,525,2.805714286
68,1030,2.473786408
66,282,2.390070922
64,133,2.112781955
70,35,2
26,291,3.395189003
1666,39,3.230769231
1668,51,2.137254902
18,72,2.777777778
2106,265,2.011320755
1751,67,2.134328358
1750,1039,3.384985563
1535,1454,2.379642366
19,381,2.776902887
1053,1102,2.254990926
1095,745,2.034899329
44,48,4.291666667
35,173,3.317919075
1536,333,1.441441441
27,481,3.600831601
1572,29,3.172413793
36,449,3.184855234
29,427,3.676814988
28,633,3.736176935
37,2020,4.037128713
21,687,2.847161572
20,1208,4.014900662
