geoid,all_vmt_hh,hh,carownership_expense_hh,driving_cost_year,vehicle,average_veh,veh_hh,transitcost_hh,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly,combined H+T
484530021111,12540.228191797643,637.0,3691.95,2278.2588833506984,1060.0,1.5,1.664050235478807,97.67579727901304,22439.0,2253.0,759.0,1839.0,12953.274725274723,1079.4395604395604,19021.159405904436
484530021112,12654.247026496285,454.0,5488.619999999999,2160.109209226194,778.0,1.7,1.7136563876651982,0.0,39048.0,1215.0,747.0,1315.0,14113.533039647578,1176.127753303965,21762.26224887377
484530021113,12238.570888138604,933.0,5488.619999999999,2089.152331851988,1474.0,1.7,1.579849946409432,103.6038701846123,70046.0,2174.0,1375.0,1624.0,18700.167202572346,1558.3472668810289,26381.543404608943
484530021121,5148.006687177843,498.0,3691.95,935.2694215152424,527.0,1.5,1.0582329317269077,158.40444935233515,26688.0,1104.0,967.0,1408.0,12900.43373493976,1075.036144578313,17686.057605807335
484530021122,6558.759556167237,797.0,3691.95,1191.569403208545,1243.0,1.5,1.5595984943538268,72.49088342601782,40383.0,2489.0,1113.0,1954.0,16268.371392722707,1355.6976160602258,21224.38167935727
484530021123,16779.070840650744,596.0,5488.619999999999,2864.2261660655918,1041.0,1.7,1.7466442953020134,195.74082277704892,52115.0,1833.0,1112.0,1658.0,16707.946308724833,1392.3288590604025,25256.533297567472
484530021131,4805.14894993566,754.0,5488.619999999999,820.2500296324242,1286.0,1.7,1.7055702917771882,94.3076663383574,61143.0,1964.0,1183.0,1755.0,17819.172413793105,1484.9310344827586,24222.350109763887
484530021132,18096.283615393066,235.0,9040.395,3287.6609796757534,570.0,2.1,2.425531914893617,0.0,101319.0,705.0,1949.0,2221.0,25679.744680851065,2139.978723404256,38007.80066052682
484530021133,6364.858074525164,419.0,9040.395,1156.3421516554304,732.0,2.1,1.7470167064439142,0.0,87150.0,1034.0,1648.0,2010.0,23135.08353221957,1927.923627684964,33331.820683875005
484530022011,8553.804057352569,340.0,5488.619999999999,1460.154118970098,693.0,1.7,2.038235294117647,114.3740493873737,60132.0,1229.0,1374.0,1522.0,17349.88235294118,1445.8235294117646,24413.03052129865
484530022012,10820.673584948036,324.0,5488.619999999999,1847.1139856788952,607.0,1.7,1.873456790123457,48.00886023667539,44722.0,994.0,1400.0,1381.0,16677.555555555555,1389.7962962962963,24061.298401471126
484530022021,7667.347074443007,804.0,5488.619999999999,1308.833863536773,1882.0,1.7,2.3407960199004973,62.18631683108806,46622.0,2301.0,1448.0,1160.0,14809.79104477612,1234.1492537313434,21669.43122514398
484530022022,3349.804022759244,321.0,3691.95,608.5790988498069,560.0,1.5,1.7445482866043611,0.0,0.0,1335.0,1234.0,0.0,10471.700934579438,872.6417445482865,14772.230033429245
484530022023,10440.680240743495,1490.0,5488.619999999999,1782.2482437234728,2840.0,1.7,1.906040268456376,35.04692826865258,39130.0,6111.0,1141.0,1110.0,13547.194630872482,1128.9328859060402,20853.10980286461
484530022071,42120.2158218124,791.0,5488.619999999999,7190.018173407159,1782.0,1.7,2.2528445006321114,0.0,59014.0,2887.0,1306.0,1328.0,15902.62452591656,1325.2187104930467,28581.26269932372
484530022072,16142.392274914848,2190.0,5488.619999999999,2755.543663639066,4876.0,1.7,2.22648401826484,21.8153764128298,55568.0,7053.0,1559.0,1319.0,16344.82191780822,1362.0684931506848,24610.800957860112
484530022081,24917.804627838632,448.0,5488.619999999999,4253.526830762086,991.0,1.7,2.212053571428572,0.0,54079.0,1374.0,1647.0,1295.0,16171.714285714286,1347.642857142857,25913.86111647637
484530022082,8059.873382187403,397.0,5488.619999999999,1375.8390113299872,727.0,1.7,1.831234256926952,0.0,42188.0,1694.0,1190.0,794.0,10497.551637279596,874.7959697732997,17362.010648609583
484530022083,14334.762953750836,,0.0,0.0,,,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0
484530022084,10144.23463955494,686.0,3691.95,1842.9642849303616,1496.0,1.5,2.1807580174927117,1.619624189575471,68293.0,2095.0,1551.0,1484.0,18014.274052478137,1501.189504373178,23550.807961598075
484530022085,6135.2880261041055,429.0,5488.619999999999,1047.3078436585683,1255.0,1.7,2.9254079254079253,0.0,63315.0,2186.0,918.0,1049.0,12254.545454545452,1021.212121212121,18790.47329820402
484530022091,21189.88185666909,1496.0,5488.619999999999,3617.1617991307257,3248.0,1.7,2.171122994652406,0.0,60522.0,5061.0,1323.0,1390.0,16488.136363636364,1374.0113636363635,25593.918162767088
484530022092,22196.486018388256,791.0,5488.619999999999,3788.991455626457,1687.0,1.7,2.1327433628318584,37.925005359439794,71750.0,2418.0,1633.0,1286.0,16190.04804045512,1349.1706700379268,25505.584501441015
484530022093,26935.226476042124,849.0,9040.395,4893.485035164193,1929.0,2.1,2.2720848056537104,0.0,86382.0,2706.0,1138.0,1443.0,16897.837455830388,1408.1531213191988,30831.717490994582
484530022101,11365.65395326071,591.0,9040.395,2064.86689780039,1297.0,2.1,2.194585448392555,0.0,88438.0,2263.0,1192.0,1463.0,16928.71065989848,1410.725888324873,28033.97255769887
484530022102,35441.01723548888,755.0,5488.619999999999,6049.863540234743,1825.0,1.7,2.4172185430463577,0.0,63512.0,2861.0,1050.0,1465.0,17052.3178807947,1421.0264900662253,28590.801421029442
