geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
482090109025,209,1815,1898,102500,737,1382,1382,3.02,458,460,429,29,1018.0,0,656
482090109051,209,1236,1913,88173,1739,3344,3344,2.47,1352,1459,1052,300,2541.0,0,1523
482090109052,209,0,1907,98750,1137,2366,2366,2.92,811,811,811,0,1778.0,0,924
482090109053,209,965,1342,45852,671,1582,1582,2.43,652,652,401,251,1185.0,0,648
482090109061,209,1664,1664,93963,4111,7765,7765,3.46,2242,2242,1776,466,5450.0,0,3217
482090109062,209,1575,1485,61948,2095,3723,4173,2.76,1350,1429,1079,271,2403.0,0,1610
482090109063,209,1323,1231,57909,974,1849,1849,3.2,577,605,460,117,1168.0,0,829
482090109064,209,1696,1619,80243,1942,3064,3064,2.72,1128,1170,952,176,2297.0,0,1500
482090109071,209,1053,1302,58036,1312,2845,2845,3.8,748,814,498,250,1649.0,0,847
482090109072,209,973,1175,42067,682,2333,2333,4.21,554,627,471,83,1268.0,0,536
482090109073,209,1332,1538,69100,3026,6977,6977,3.61,1934,2037,1148,786,4424.0,0,2606
482090109074,209,1282,891,47963,995,2311,2311,4.25,544,604,413,131,1276.0,17,824
482090109081,209,1124,2055,67269,2857,5278,5278,2.77,1907,2019,1263,644,3464.0,0,2311
482090109082,209,1231,1687,78790,5207,10170,10170,3.58,2842,2941,2187,655,5986.0,55,4431
482090109091,209,2073,1296,84405,620,1494,1494,3.21,466,496,242,224,1003.0,0,570
482090109092,209,1756,1744,94281,1136,2197,2197,2.76,797,797,569,228,1481.0,0,969
482090109093,209,1373,1722,61629,2355,4608,4608,2.59,1777,1937,737,1040,2784.0,0,1899
482090109101,209,1453,1373,75436,967,1928,1928,2.93,657,756,524,133,1275.0,0,825
482090109102,209,1150,1223,71738,712,1323,1323,2.87,461,573,210,251,1013.0,0,665
482090109103,209,1249,1365,89459,1749,3742,3742,3.62,1034,1034,761,273,2103.0,0,1450
482090109104,209,1655,1711,97500,1867,3386,3386,3.26,1038,1038,675,363,2254.0,0,1568
484530001011,453,0,2799,110703,497,812,812,2.34,347,400,316,31,,19,391
484530001012,453,2402,3859,169492,926,1466,1466,2.71,541,571,438,103,1113.0,0,789
484530001013,453,1745,3232,73234,1109,2133,2133,1.74,1229,1339,403,826,1622.0,66,846
484530001021,453,0,3282,183167,706,1524,1544,2.06,740,821,682,58,1327.0,5,530
484530001022,453,0,4001,207500,519,1036,1036,2.64,392,392,371,21,,0,399
484530002031,453,1801,0,74250,1201,1716,2334,1.94,884,1008,0,884,1156.0,146,778
484530002041,453,1114,2917,33045,692,1237,1237,1.92,643,782,186,457,847.0,77,382
484530002042,453,1279,2888,87361,648,1234,1281,2.1,587,649,382,205,870.0,10,496
484530002043,453,1184,3507,159219,340,566,578,2.07,273,282,169,104,405.0,25,221
484530002051,453,1455,2417,95357,1208,1477,1477,1.78,832,914,279,553,1331.0,67,858
484530002052,453,1151,1972,63750,1548,1905,1905,1.54,1238,1375,195,1043,1409.0,393,815
484530002053,453,1267,3607,112083,466,548,548,1.96,279,320,132,147,530.0,37,275
484530002061,453,1875,3382,105833,799,1331,1331,2.23,596,650,449,147,1010.0,8,643
484530002062,453,2000,3058,165556,440,784,784,2.63,298,305,266,32,586.0,6,340
484530002063,453,1201,2231,53438,882,1260,1260,1.63,771,841,54,717,994.0,76,653
484530003021,453,1153,3645,66825,775,1086,1086,1.85,588,604,202,386,815.0,76,447
484530003022,453,1139,0,45313,739,1036,1068,1.76,588,688,62,526,700.0,266,287
484530003023,453,1717,3529,113790,567,992,992,2.08,476,537,227,249,617.0,42,321
484530003024,453,1275,2961,65563,671,1018,1018,2.55,400,529,120,280,541.0,128,389
484530003025,453,1230,3938,57269,740,1071,1071,1.72,622,754,225,397,880.0,127,370
484530003041,453,1112,2188,47500,910,1160,1174,1.73,670,820,127,543,882.0,138,582
484530003042,453,1600,2886,98088,1362,1953,1953,2.57,760,855,297,463,1448.0,157,882
484530003051,453,1690,3000,101250,972,1528,1528,2.39,640,693,320,320,1145.0,44,626
484530003052,453,1172,2615,52955,689,948,948,1.88,504,535,144,360,819.0,105,465
484530003053,453,1388,2231,62109,1141,1617,1617,2.09,772,836,241,531,1270.0,43,898
484530003061,453,1588,2779,93750,3898,6011,6029,2.14,2805,3047,1356,1449,4248.0,165,2829
484530003071,453,1423,2553,94423,1242,1820,1820,2.23,816,885,466,350,1379.0,69,902
484530004011,453,1819,1896,98375,1355,1713,1713,2.13,804,919,373,431,1332.0,41,880
484530004012,453,1466,2500,33571,1399,2270,2516,2.1,1080,1237,136,944,1569.0,53,717
484530004021,453,1360,1810,62887,1016,1427,1427,1.77,804,804,202,602,1104.0,110,769
484530004022,453,1080,1563,38884,559,1121,1350,2.76,406,463,198,208,548.0,24,361
484530004023,453,1149,2578,61700,676,884,884,2.06,430,557,193,237,658.0,33,379
484530005001,453,1065,0,25945,520,891,891,1.98,449,610,29,420,576.0,69,229
484530005002,453,1354,0,54267,963,1344,1364,2.33,577,808,46,531,780.0,116,654
484530005003,453,1210,0,92632,535,918,963,2.28,402,478,96,306,627.0,14,330
484530005004,453,1145,0,51023,667,1189,1213,1.88,633,700,214,419,951.0,33,390
484530006011,453,1118,0,19120,383,777,1249,2.81,277,339,0,277,418.0,29,208
484530006012,453,1722,0,2499,2590,61,9083,3.05,20,25,0,20,,59,1110
484530006031,453,1620,0,0,595,899,1056,2.44,368,592,51,317,453.0,0,442
484530006032,453,1697,0,17656,1178,2320,2478,3.45,672,886,16,656,,223,615
484530006033,453,1894,0,2499,499,1375,1791,3.4,405,405,27,378,,14,221
484530006034,453,1668,0,4823,331,1054,1217,2.88,366,366,0,366,587.0,0,171
484530006035,453,1194,0,5287,653,1400,1712,2.23,629,742,7,622,777.0,15,270
484530006041,453,1105,0,0,549,1200,1274,2.19,548,693,29,519,,0,359
484530006042,453,1262,0,6818,966,2044,3272,3.06,668,865,0,668,549.0,33,225
484530006043,453,1310,0,8761,883,1663,3002,2.72,611,698,38,573,,29,450
484530007001,453,1229,1702,57708,761,1370,1388,1.88,729,898,277,452,857.0,37,437
484530008011,453,912,1726,51944,882,1718,1794,2.65,648,752,369,279,1220.0,13,610
